protein,0min,5min,15min,30min,60min,120min
IPI00341196.3_Gpatch8_1185,0.065209035,1.044049715,-0.268710922,-0.593107282,1.189884073,-1.437324619
IPI00187403.3_Slc35a5_429,0.800585713,0.973973474,-0.085181131,-1.756652737,-0.363282413,0.430557095
IPI00857417.1_Med24_890,0.919240584,0.525441559,-1.444640459,-0.928393393,-0.035368499,0.963720207
IPI00856140.1_Ppp1r2_88,-0.673444529,-0.258429005,1.978294636,-0.647449395,-0.382867038,-0.01610467
IPI00187403.3_Slc35a5_432,-0.276055766,-0.520966822,1.626221068,-1.061254375,-0.53765623,0.769712123
IPI00380722.1_Bat2_1113,-1.981830901,0.278808405,0.212062117,0.605015466,0.752123634,0.133821279
IPI00395067.1_Rdbp_115,-1.812266037,0.632545698,0.666904968,0.75979535,0.239157902,-0.486137882
IPI00114862.1_Thumpd1_8,0.983720973,0.462065783,0.604026688,-0.079977571,-0.116754093,-1.853081781
IPI00281011.7_Marcksl1_22,1.385611208,0.217500213,-0.082353824,0.687928094,-0.866013469,-1.342672221
IPI00323349.2_Tjp2_1136,1.450652248,-0.634290252,-0.455246859,1.060491201,-0.985494225,-0.436112113
IPI00314443.3_Adam17_813,1.93023099,0.046936965,-0.546009304,-0.421832084,-0.883191168,-0.126135399
IPI00115094.1_Bckdk_31,0.346347349,0.260126776,1.716016112,-0.758680748,-0.96807636,-0.595733129
IPI00107999.1_Chd1_214,0.140718597,1.960158498,-0.639203055,-0.452366255,-0.592432202,-0.416875582
IPI00107999.1_Chd1_215,0.140718597,1.960158498,-0.639203055,-0.452366255,-0.592432202,-0.416875582
IPI00117932.3_Sin3a_833,1.508117531,-0.136055285,-0.853799357,-0.105580702,0.763658017,-1.176340205
IPI00874321.1_Hnrnpc_241,0.907451755,-1.586955454,-0.272792843,0.149905175,-0.385982901,1.188374268
IPI00124779.6_Tgs1_152,1.32644348,-0.385791349,1.10552921,-0.755101046,-1.12818709,-0.162893205
IPI00109304.1_Car13_5,-0.884415513,-0.769629774,1.365972695,-0.258947949,1.151840514,-0.604819972
IPI00652900.1_Arhgef1_432,0.202313997,-0.560512066,-1.085996496,1.615227145,0.563298815,-0.734331394
IPI00756696.2_Ppp4r2_226,-1.507531407,0.381169925,0.947656194,0.933596404,0.136107624,-0.89099874
IPI00677756.1_Ahnak2_35,-1.899687666,0.138446879,0.044105708,0.069833424,0.888442195,0.75885946
IPI00459468.2_Wrnip1_151,-0.095437023,0.882545275,-0.107923008,-1.265208686,-0.808780791,1.394804233
IPI00918245.2_Svil_556,-0.504669998,-0.210331639,-0.293614179,-0.123618141,-0.840759206,1.972993163
IPI00126223.1_Jund_100,-1.448539153,-0.229213818,0.865317182,1.062592157,0.560498335,-0.810654703
IPI00387232.1_Nsfl1c_178,-1.701571989,-0.607572923,0.36663066,0.173336944,0.829588659,0.939588649
IPI00118344.1_Ugdh_474,-1.875708586,-0.14106527,0.707914965,0.786308839,0.582104748,-0.059554696
IPI00314102.6_Dlc1_540,-1.681731881,-0.624050599,0.028469327,0.624819887,0.939739672,0.712753593
IPI00856302.1_Palld_901,-1.782207864,0.044287969,0.847714547,0.972594484,0.236131716,-0.318520853
IPI00553798.2_Ahnak_136,-1.913576659,0.567722794,0.755758304,0.604875111,0.191056021,-0.205835571
IPI00123755.1_Cbx5_93,-1.562711682,-0.938196118,0.830976875,0.361993412,0.674070707,0.633866806
IPI00874630.1_Camkk2_495,-1.294462172,-0.896914307,-0.153089779,0.122939406,1.027784348,1.193742504
IPI00117689.1_Ptrf_14,1.619327518,0.691295559,-0.105100369,-1.156682631,-0.545577652,-0.503262425
IPI00338954.3_Sash1_831,1.393883563,-0.912493631,0.631475859,0.005415683,0.21557733,-1.333858805
IPI00884460.1_Prkca_226,0.118969402,1.432769278,-0.59186248,-0.868483286,0.909363156,-1.00075607
IPI00323238.5_Setd1a_545,1.63545892,-0.349591543,-0.729417772,0.835509375,-0.741579755,-0.650379225
IPI00515528.3_Zc3h13_380,0.821861818,-0.449823887,-1.502108158,0.460952314,1.179998569,-0.510880655
IPI00857065.1_Tead2_260,1.118730307,-0.771366978,-0.977266141,1.052399863,0.496419838,-0.918916888
IPI00857073.1_Akt1s1_318,-1.461825085,-0.06080738,1.182988774,-0.85023552,0.715564509,0.474314702
IPI00889216.1_Gapvd1_747,-1.350374706,1.12497343,1.24222509,-0.39136318,-0.410285735,-0.2151749
IPI00283057.1_Xrn2_470,0.02773738,0.75762318,0.151579256,1.184617448,-1.672514022,-0.449043242
IPI00119921.5_4833439L19Rik_183,-1.613475619,-0.301090252,1.107369311,-0.003832033,1.018244222,-0.207215628
IPI00470167.3_Rtn4_165,-1.46259965,-0.43801733,1.256508143,0.83550226,-0.527987483,0.33659406
IPI00132028.1_Sap30_138,-1.37905808,-0.904766916,1.135343081,0.937526613,-0.105927777,0.316883078
IPI00132028.1_Sap30_131,-1.37905808,-0.904766916,1.135343081,0.937526613,-0.105927777,0.316883078
IPI00762331.2_Cobll1_993,-1.155259806,-1.193044481,0.197297508,0.14413093,1.293734564,0.713141286
IPI00137501.1_Nfic_323,-1.134856024,0.773175661,0.581455935,1.265161209,-0.551341875,-0.933594906
IPI00918049.1_Osbpl11_200,-1.870105454,0.102594589,-0.190643224,0.883736768,0.758181665,0.316235655
IPI00930835.1_Rin3_307,-1.985711388,0.202757116,0.633260527,0.677531523,0.384915572,0.087246651
IPI00667973.3_Cep170_1116,1.558957941,0.724868622,-0.057565558,-0.989508562,-1.003730817,-0.233021626
IPI00467059.5_Stk11ip_390,1.529272608,0.976109641,-0.308085834,-0.755774819,-0.679344948,-0.762176648
IPI00467059.5_Stk11ip_388,1.529272608,0.976109641,-0.308085834,-0.755774819,-0.679344948,-0.762176648
IPI00172344.1_Cdc42ep2_109,1.812722106,0.081964289,-0.092007874,-0.622322361,-0.035674013,-1.144682147
IPI00662157.3_Synpo_1007,1.821658156,-1.042235937,0.023657216,-0.202169298,-0.732500917,0.131590779
IPI00282957.4_Mtap7d1_99,1.142169732,0.737149284,-0.270878853,-0.768306724,-1.453380942,0.613247502
IPI00282957.4_Mtap7d1_95,1.385231395,0.989484517,0.004536745,-0.506830317,-1.150890129,-0.721532211
IPI00118337.2_Pcyt1b_362,0.27143169,0.451670442,-1.765936178,0.626339106,0.958165255,-0.541670315
IPI00416342.1_Gpatch2_10,0.292341483,1.263882017,-1.769228,-0.230962321,0.089555833,0.354410988
IPI00132122.3_Smc3_1065,1.380101053,1.101781416,-0.496434637,-1.063978998,-0.658658307,-0.262810526
IPI00229534.5_Marcks_112,0.846838852,-1.93080055,0.25952672,0.548538376,-0.134600099,0.410496701
IPI00400401.1_Elac2_797,0.471840552,0.53944175,0.031518481,0.356596693,-1.999517538,0.600120063
IPI00420248.1_Kdm2b_883,1.462756237,0.880505472,0.143635853,-0.82514916,-0.868610359,-0.793138043
IPI00420248.1_Kdm2b_885,1.267754612,0.992019216,0.17902981,-0.468515702,-0.656419002,-1.313868934
IPI00896672.1_Prpf4b_141,-0.712686803,0.750194147,-1.660105359,0.264181353,0.9799547,0.378461962
IPI00400215.3_Plec_4233,1.452278475,-0.243409944,0.366857369,-0.536282918,-1.486477478,0.447034496
IPI00109335.1_Stx4a_117,1.154800988,0.26404219,-0.702258985,-0.274907636,-1.431300054,0.989623497
IPI00380722.1_Bat2_1085,0.338058353,-1.171389087,-1.195750133,-0.011862139,1.041458254,0.999484752
IPI00874398.1_Fam65a_90,0.697507981,1.605245595,-0.162342569,-0.416427771,-1.216140526,-0.50784271
IPI00399981.3_Lrig3_1077,0.775755183,1.448340176,0.090711752,-1.236007779,-0.237185518,-0.841613813
IPI00115490.1_Pcyt1a_342,0.315666317,1.27098426,-0.305137004,0.887137715,-0.921065624,-1.247585664
IPI00273851.2_Tlk1_100,0.610781058,0.925182776,-0.599190853,-1.667910264,-0.060311705,0.791448988
IPI00273851.2_Tlk1_103,0.610781058,0.925182776,-0.599190853,-1.667910264,-0.060311705,0.791448988
IPI00929767.1_Ubn1_493,0.670189026,0.447993149,-0.256089785,-0.967368432,-1.240270256,1.345546298
IPI00277930.6_Capg_339,1.048100215,0.686513644,0.675576436,-1.112052913,-1.317850952,0.01971357
IPI00312128.3_Trim28_12,1.132399927,-1.339682503,0.117908018,1.14607742,-0.664760693,-0.391942169
IPI00654133.1_E130112L23Rik_1436,-0.915951136,-0.794944629,-1.015114374,1.020578974,0.815230997,0.890200168
IPI00654133.1_E130112L23Rik_1441,-0.915951136,-0.794944629,-1.015114374,1.020578974,0.815230997,0.890200168
